,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299
0,dollar,formula,quote,ability,absence,abuse,acceptance,access,accident,accommodation,account,accountant,accuracy,achievement,acid,acquisition,activity,actor,adam,addition,address,administration,adoption,adult,advantage,advertisement,advice,adviser,affair,africa,afternoon,agency,agenda,agreement,aircraft,airport,alarm,album,alcohol,alice,allegation,alliance,allocation,allowance,ally,alternative,ambassador,ambition,amendment,american,amount,analysis,analyst,angel,anger,angle,animal,ankle,anniversary,announcement,appeal,appearance,apple,applicant,approach,april,architect,architecture,area,army,arrangement,array,arrest,arrival,arrow,aspect,assault,assembly,assessment,asset,assistant,assumption,athelstan,atmosphere,attention,audience,auditor,australia,author,authority,autumn,average,award,awareness,baby,back,background,bacterium,baker,ball,bank,barrel,barrier,basis,basket,bath,battle,beach,beauty,beginning,being,belief,bell,bench,benjamin,best,bike,bill,bird,birth,black,blanket,block,blood,blow,board,boat,bomb,bone,book,boom,border,bottom,bowl,branch,brand,breach,break,breakfast,breath,breeze,bridge,brother,brow,brush,bucket,bulk,bull,bush,business,buyer,cabinet,cable,camp,campaign,cancer,candidate,card,career,carrier,case,castle,catalogue,category,cause,caution,ceremony,certificate,chamber,chance,change,chaos,character,charge,charity,charles,charlie,chart,check,chemical,child,circle,circuit,circumstance,city,cliff,cloth,clothes,club,co-operation,coach,coal,coast,code,collapse,college,column,combination,communication,company,compensation,competition,competitor,complexity,computer,concern,confidence,confusion,consensus,conservative,constituency,contact,content,contents,context,continent,controversy,conversion,copy,corner,count,couple,course,crew,crime,crop,current,dance,danger,datum,decade,democracy,department,depth,detective,diet,discipline,display,dose,drama,draw,drive,driver,duke,dust,earl,east,economy,edition,electricity,employee,employment,engine,episode,equipment,error,exhibition,expedition,factory,fence,flesh,flow,fragment,gentleman,girl,glance,goal,gorbachev,grin,guest,half,handle,head,headline,heap,hero,honour,hundred,idea,inhabitant,landing,lesson,lewis,location,london,major,meaning,medicine,metal,module,note,panel,phase,police,poll,rank,reading,record,while,youth
1,pound,formula,chapter,capability,appointment,action,admission,availability,crash,housing,article,agent,balance,contribution,,discovery,attitude,artist,luke,advance,answer,defence,application,female,burden,advertising,assistance,consultant,bond,america,evening,association,culture,concession,airline,apartment,camera,band,drug,anna,argument,coalition,budget,cash,boss,compromise,delegate,attempt,charter,english,concentration,calculation,commentator,bible,anxiety,curve,human,collar,birthday,choice,enquiry,demonstration,beer,client,direction,february,designer,design,country,empire,complex,battery,conviction,closure,blade,base,attack,congress,evaluation,guide,captain,concept,century,climate,disappointment,crowd,bishop,britain,historian,discretion,fall,level,cross,bias,body,bathroom,noise,cell,clarke,belt,cheque,bottle,device,criterion,bread,leeds,fight,garden,comfort,dawn,,doubt,building,brick,david,holder,carriage,decision,fish,rise,brown,candle,injunction,breast,clash,commission,craft,bullet,brain,diary,fashion,boundary,remainder,challenge,canal,chain,comparison,crack,dinner,flavour,cloud,corridor,family,cheek,kick,button,majority,cattle,clinton,capital,consumer,minister,channel,clinic,invasion,condition,lawyer,coin,cycle,supply,example,cathedral,collection,class,defect,judgement,concert,final,guitar,necessity,progress,darkness,position,command,foundation,edward,harry,entry,comment,compound,cousin,dimension,citizen,conclusion,colony,hill,coat,colour,conference,joint,defender,grain,gulf,database,destruction,school,envelope,finding,custom,corp,damage,contest,enemy,constraint,innovation,difficulty,contempt,courage,consideration,democrat,election,involvement,evidence,focus,coverage,earth,criticism,isolation,cover,curtain,rating,handful,curriculum,personnel,gang,export,future,literature,fear,definition,hour,freedom,institute,depths,ghost,food,emphasis,image,interval,film,drawing,let,operator,emperor,grass,lady,north,enterprise,model,emission,farmer,inequality,gear,season,facility,joke,gallery,journey,farm,grip,hair,frequency,questionnaire,individual,prisoner,moment,motive,hitler,kiss,holiday,pair,hold,horn,journal,pile,mystery,merit,million,impression,living,,master,,place,moscow,,name,surgery,rock,package,notice,,screen,policeman,referendum,status,script,recording,whilst,
2,acre,rally,paragraph,capacity,death,discrimination,approval,delivery,crisis,shelter,desk,inspector,effectiveness,talent,,exchange,behaviour,cast,martin,decline,call,government,compliance,male,care,ideal,benefit,critic,connection,china,morning,centre,identity,contract,flight,cottage,packet,song,substance,anne,claim,faction,consumption,dividend,colleague,equation,delegation,attraction,clause,french,degree,estimate,editor,christ,depression,edge,insect,elbow,,invitation,inquiry,performance,champagne,creditor,experiment,june,developer,style,district,flag,composition,beam,crown,completion,fist,characteristic,raid,convention,examination,reserve,chair,conception,mungo,countryside,embarrassment,reader,governor,england,poet,jurisdiction,spring,maximum,gold,consciousness,coffin,bedroom,pollution,domain,cook,boot,credit,glass,function,directive,cake,liverpool,fighting,lake,dream,middle,,fact,clock,ceiling,jack,round,lorry,draft,flower,rose,green,cigarette,limit,chest,defeat,committee,ship,hole,mouse,essay,pattern,,rest,champion,line,maker,conflict,lead,host,scent,fire,lane,father,chin,stick,chip,minority,horse,washington,education,customer,prime,network,hospital,occupation,disease,politician,item,evolution,traffic,instance,chapel,collector,generation,delay,judgment,festival,promotion,instrument,option,shift,heaven,role,commander,fund,francis,ruth,launch,complaint,,daughter,sphere,clerk,effect,community,island,fabric,dress,division,partnership,forward,mine,ocean,document,killing,university,leaflet,form,filter,corporation,damages,event,face,detail,laboratory,dilemma,hostility,curiosity,consultation,labour,seat,participation,information,subject,impact,moon,scandal,recovery,date,door,score,mixture,program,staff,murder,import,official,music,risk,description,minute,independence,office,distance,killer,meat,experience,,routine,horror,,move,rider,king,nest,lord,south,industry,version,energy,miner,inflation,leaf,series,field,mistake,library,mission,mill,hook,skin,impulse,sample,offender,soldier,point,objective,kinnock,laugh,ticket,,holding,neck,magazine,,myth,virtue,other,intention,resident,,practitioner,,site,paris,,phrase,treatment,,space,warning,,stage,security,vote,,work,studio,,
3,dollar,,section,counter,departure,protest,consent,distribution,disaster,,links,officer,efficiency,,,merger,conduct,dancer,michael,drop,letter,ministry,construction,,duty,publicity,guidance,leader,friendship,india,night,entity,ideology,deal,helicopter,garage,phone,track,,blanche,objection,party,cost,earnings,companion,remedy,embassy,commitment,constitution,german,extent,measurement,insider,christian,disorder,ground,plant,foot,,recommendation,investigation,pitch,coffee,defendant,manner,march,engineer,,province,fleet,format,light,jury,creation,knife,cluster,strike,parliament,identification,resource,chairman,doctrine,scot,environment,harm,viewer,,europe,scholar,monopoly,summer,minimum,medal,expression,corpse,cupboard,smoke,gene,corbett,glove,currency,pint,mechanism,grounds,carpet,oxford,pursuit,park,fortune,start,,faith,square,deck,james,second,motor,initiative,tree,spread,white,flame,limitation,heart,return,council,vessel,needle,muscle,lecture,phenomenon,,whole,championship,rail,manufacturer,consequence,step,lunch,sight,mist,road,husband,eyebrow,,container,,lamb,,finance,dealer,,radio,nurse,,illness,,object,existence,transport,occasion,church,,grade,failure,resolution,,qualification,organ,possibility,switch,hell,,control,grant,george,,release,opinion,,mother,,commissioner,fate,county,mountain,fibre,jacket,football,service,game,waste,shore,file,loss,,sheet,hint,input,firm,reward,incident,opponent,logic,science,fault,loyalty,delight,conversation,tory,ward,presence,material,topic,importance,planet,speculation,separation,paint,doorway,wicket,plenty,programme,,,production,past,poetry,threat,explanation,month,peace,,height,monster,,expert,,,motion,,pass,,kingdom,salt,,west,market,,fuel,peasant,poverty,shaft,show,goods,surprise,museum,passage,shop,knot,tissue,output,signature,participant,teenager,time,purpose,marx,look,tourist,,offer,nose,mail,,ritual,warrant,thousand,plot,,,pupil,,spot,rome,,root,,,,,,,volunteer,voter,,writing,,,
4,inch,,sentence,medium,rejection,terror,licence,lack,explosion,,page,sergeant,exposure,,,purchase,habit,producer,nigel,ease,message,public,development,,priority,,help,spokesman,interaction,japan,,group,origin,lease,missile,hotel,telephone,tune,,caroline,reason,,deficit,income,fellow,solution,nation,desire,declaration,russian,favour,research,interview,jesus,guilt,horizon,prey,heel,,request,report,presentation,drink,employer,path,,photographer,,region,force,formation,particle,justice,establishment,knight,component,suicide,,inspection,,chancellor,expectation,,forest,offence,,,france,scientist,ownership,winter,total,prize,gaze,creature,downstairs,sound,molecule,ford,mask,debt,sign,method,guideline,cream,wales,struggle,pond,glory,,,,tower,floor,john,winner,passenger,petition,,,,lamp,regulation,left,triumph,tribunal,yard,punch,nerve,novel,recession,,,title,railway,source,contradiction,stop,meal,smell,rain,route,lover,finger,,disc,,rabbit,,health,investor,,,prison,,infection,,parameter,history,,,hall,,,strain,verdict,,training,pipe,potential,turn,rage,,headquarters,trust,henry,,tour,remark,,parent,,constable,outcome,port,ridge,furniture,shirt,league,venture,play,,,index,removal,,sleeve,kind,interface,label,,match,opposition,uncertainty,technology,issue,respect,emotion,debate,,,,stuff,,influence,star,,transformation,painting,entrance,,variety,sport,,,trade,present,verse,trap,glimpse,quarter,revolution,,length,stranger,,expertise,,,movie,,ride,,pope,sand,,,sector,,heat,worker,unemployment,wheel,,machine,,theatre,trip,store,ladder,,pulse,,patient,youngster,,,thatcher,sigh,visitor,,open,tail,media,,rumour,worth,,thought,,,student,,target,york,,symbol,,,,,,,,,,,,,
5,metre,,,,resignation,violence,permission,maintenance,flood,,talk,,intensity,,,sale,personality,,paul,excess,reaction,regime,expansion,,privilege,,intervention,,marriage,kong,,institution,philosophy,treaty,pilot,palace,voice,,,diana,,,demand,membership,friend,,representative,determination,decree,,figure,search,journalist,,mood,margin,species,injury,,suggestion,,reception,fruit,landlord,perspective,,,,territory,guard,frame,spectrum,penalty,opening,sword,core,,,observation,,chief,gesture,,interior,reputation,,,germany,traveller,possession,,,trophy,hearing,grave,home,,organism,graham,ring,deposit,,mode,obligation,dish,,,pool,happiness,,,,,front,mark,,tank,plan,,,,spell,restriction,mouth,victory,,,shell,stem,poem,trend,,,tournament,station,supplier,contrast,tear,,sweat,snow,street,,forehead,,disk,,sheep,,management,owner,,,,,virus,,piece,life,,,house,,,weakness,,,,,prospect,,shadow,,leadership,,joseph,,,statement,,princess,,councillor,result,settlement,summit,garment,skirt,,,player,,,list,,,,means,language,subsidiary,,meeting,rival,variation,,mess,suspicion,enthusiasm,dialogue,,,,,,popularity,universe,,transition,photograph,gate,,,,,,trading,,,,introduction,seconds,spirit,,pace,thief,,insight,,,television,,stand,,prince,soil,,,,,momentum,,welfare,,,machinery,,,visit,workshop,lift,,rhythm,,people,,,,,smile,,,roll,,news,,story,,,,,,teacher,,,,,term,,,,,,,,,,,,,
6,mile,,,,retirement,,recognition,quality,tragedy,,,,load,,,transfer,,,peter,gain,reference,republic,extension,,responsibility,,protection,,relationship,russia,,movement,politics,,plane,restaurant,,,,eliot,,,exercise,money,neighbour,,squad,effort,legislation,,fraction,statistics,observer,,pain,shelf,,knee,,,,safety,juice,plaintiff,practice,,,,zone,rebel,hierarchy,,proceedings,receipt,weapon,element,,,preparation,,deputy,hypothesis,,land,shock,,,iraq,writer,rights,,,,imagination,remains,kitchen,,protein,howard,shoe,estate,,procedure,provision,gift,,,river,hope,,,,,pavement,patrick,,taxi,policy,,,,torch,sanction,stomach,,,,shot,,strip,,,,,,vendor,difference,,,taste,storm,trail,,hand,,flat,,,,planning,premium,,,,,,,product,lifespan,,,prayer,,,,,,,,prospects,,silence,,,,philip,,,,,sister,,court,,town,valley,,suit,,,receiver,,,profile,,,,sort,link,,,race,supporter,,,obstacle,sympathy,excitement,discourse,,,,,,scope,world,,,picture,mirror,,,,,,,,,,outline,session,union,,peak,,,intelligence,,,video,,stretch,,queen,stone,,,,,power,,,,,supplies,,,,,pole,,signal,,person,,,,,watch,,,,,newspaper,,tale,,,,,,teaching,,,,,theme,,,,,,,,,,,,,
7,pound,,,,succession,,seal,shortage,,,,,pressure,,,,,,simon,growth,reply,state,framework,,,,refugee,,,,,organisation,religion,,vehicle,villa,,,,elizabeth,,,expenditure,profit,partner,,,incentive,rule,,incidence,study,reporter,,panic,side,,limb,,,,,milk,right,stance,,,,,troops,shape,,prosecution,replacement,,equivalent,,,review,,director,implication,,landscape,,,,ireland,,,,,,memory,soul,room,,sequence,hunt,,insurance,,process,requirement,recipe,,,stream,love,,,,,roof,richard,,train,project,,,,,,throat,,,,,,volume,,,,,,,distinction,,,touch,sunlight,tunnel,,nail,,layer,,,,portfolio,publisher,,,,,,,,lifetime,,,temple,,,,,,,,,,,,,,william,,,,,wife,,doctor,,village,,,trousers,,,team,,,register,,,,type,menu,,,,,,,problem,thanks,feeling,discussion,,,,,,significance,,,,portrait,stair,,,,,,,,,,representation,times,unity,,size,,,interest,,,,,walk,,,water,,,,,,,,,,,,,,,rope,,stroke,,thing,,,,,,,,,,paper,,tradition,,,,,,,,,,,trick,,,,,,,,,,,,,
8,tonne,,,,successor,,,,,,,,resistance,,,,,,stephen,improvement,response,treasury,implementation,,,,relief,,,,,organization,,,,,,,,emily,,,expense,revenue,servant,,,instinct,statute,,mass,,researcher,,sleep,slope,,shoulder,,,,,palm,shareholder,strategy,,,,,,structure,,punishment,,,factor,,,selection,,executive,interpretation,,nature,,,,israel,,,,,,mind,,,,strand,jackson,,investment,,stimulus,standard,slice,,,,pleasure,,,,,tile,robert,,truck,proposal,,,,,,,,,,,,,,,,,,,relation,,,,tide,,,spine,,lock,,,,reform,purchaser,,,,,,,,period,,,terrace,,,,,,,,,,,,,,,,,,,,,judge,,,,,uniform,,,,,,software,,,,,platform,,,,,,,question,,frustration,dispute,,,,,,success,,,,poster,wall,,,,,,,,,,text,week,,,speed,,,knowledge,,,,,,,,wood,,,,,,,,,,,,,,,stitch,,wave,,user,,,,,,,,,,papers,,,,,,,,,,,,,word,,,,,,,,,,,,,
9,,,,,withdrawal,,,,,,,,sensitivity,,,,,,,increase,,,instruction,,,,support,,,,,society,,,,,,,,helen,,,household,salary,,,,need,,,number,,,,stress,surface,,thigh,,,,,potato,stake,,,,,,,,,secret,,,feature,,,survey,,manager,norm,,scene,,,,italy,,,,,,perception,,,,,johnson,,liability,,system,,,,,,pride,,,,,wing,thomas,,,proposition,,,,,,,,,,,,,,,,,,,,,,,waters,,,tongue,,pack,,,,,seller,,,,,,,,range,,,,,,,,,,,,,,,,,,,,,,,,magistrate,,,,,,,,,,,,,,,,processor,,,,,,,situation,,laughter,matter,,,,,,validity,,,,specimen,window,,,,,,,,,,,weekend,,,temperature,,,profession,,,,,,,,,,,,,,,,,,,,,,,string,,,,victim,,,,,,,,,,post,,,,,,,,,,,,,,,,,,,,,,,,,,
