,0,1
0,dollar,formula
1,pound,quote
2,accident,ability
3,accountant,absence
4,acre,abuse
5,actor,acceptance
6,adam,access
7,adult,accommodation
8,adviser,account
9,affair,accuracy
10,africa,achievement
11,afternoon,acid
12,agent,acquisition
13,aircraft,action
14,airline,activity
15,airport,addition
16,album,address
17,alice,administration
18,alliance,admission
19,ally,adoption
20,ambassador,advance
21,america,advantage
22,american,advertisement
23,analyst,advertising
24,angel,advice
25,animal,agency
26,ankle,agenda
27,anna,agreement
28,anne,alarm
29,anniversary,alcohol
30,apartment,allegation
31,apple,allocation
32,april,allowance
33,architect,alternative
34,area,ambition
35,army,amendment
36,arrest,amount
37,arrival,analysis
38,arrow,anger
39,artist,angle
40,assembly,announcement
41,assistant,answer
42,association,anxiety
43,athelstan,appeal
44,auditor,appearance
45,australia,applicant
46,author,application
47,autumn,appointment
48,award,approach
49,baby,approval
50,back,architecture
51,baker,argument
52,ball,arrangement
53,band,array
54,bank,article
55,barrel,aspect
56,base,assault
57,basket,assessment
58,bath,asset
59,bathroom,assistance
60,battery,assumption
61,battle,atmosphere
62,beach,attack
63,beam,attempt
64,beauty,attention
65,bedroom,attitude
66,beer,attraction
67,beginning,audience
68,being,authority
69,bell,availability
70,belt,average
71,bench,awareness
72,benjamin,background
73,best,bacterium
74,bible,balance
75,bike,barrier
76,bill,basis
77,bird,behaviour
78,birth,belief
79,birthday,benefit
80,bishop,bias
81,black,block
82,blade,body
83,blanche,boundary
84,blanket,brain
85,blood,breach
86,blow,breath
87,board,budget
88,boat,bulk
89,bomb,burden
90,bond,calculation
91,bone,call
92,book,capability
93,boom,capacity
94,boot,care
95,border,case
96,boss,category
97,bottle,cause
98,bottom,caution
99,bowl,cell
100,branch,certificate
101,brand,challenge
102,bread,chance
103,break,change
104,breakfast,chaos
105,breast,characteristic
106,breeze,charge
107,brick,check
108,bridge,chemical
109,britain,cheque
110,brother,choice
111,brow,circumstance
112,brown,claim
113,brush,class
114,bucket,clause
115,building,client
116,bull,climate
117,bullet,closure
118,bush,cluster
119,business,co-operation
120,button,code
121,buyer,collapse
122,cabinet,colour
